irr-D12-1	1 x (irr-D5-1,irr-D7-1)
irr-D12-24	1 x (irr-D5-10,irr-D7-1) + 1 x (irr-D5-1,irr-D7-14)
irr-D12-276	1 x (irr-D5-10,irr-D7-14) + 1 x (irr-D5-45,irr-D7-1) + 1 x (irr-D5-1,irr-D7-91)
irr-D12-299	1 x (irr-D5-1,irr-D7-1) + 1 x (irr-D5-10,irr-D7-14) + 1 x (irr-D5-54,irr-D7-1) + 1 x (irr-D5-1,irr-D7-104)
