irr-D12-1	1 x (irr-B4-1,irr-B7-1)
irr-D12-24	1 x (irr-B4-9,irr-B7-1) + 1 x (irr-B4-1,irr-B7-15)
irr-D12-276	1 x (irr-B4-9,irr-B7-15) + 1 x (irr-B4-36,irr-B7-1) + 1 x (irr-B4-1,irr-B7-105)
irr-D12-299	1 x (irr-B4-1,irr-B7-1) + 1 x (irr-B4-9,irr-B7-15) + 1 x (irr-B4-44,irr-B7-1) + 1 x (irr-B4-1,irr-B7-119)
