irr-D12-1	1 x (irr-A4-1)
irr-D12-24	1 x (irr-A4-24)
irr-D12-276	1 x (irr-A4-24) + 2 x (irr-A4-126a)
irr-D12-299	1 x (irr-A4-24) + 1 x (irr-A4-75) + 1 x (irr-A4-200)
