irr-D12-1	1 x (irr-C2-1,irr-C3-1)
irr-D12-24	1 x (irr-C2-4-q,irr-C3-6-q)
irr-D12-276	1 x (irr-C2-10,irr-C3-1) + 1 x (irr-C2-1,irr-C3-21) + 1 x (irr-C2-10,irr-C3-14a) + 1 x (irr-C2-5,irr-C3-21)
irr-D12-299	1 x (irr-C2-5,irr-C3-1) + 1 x (irr-C2-1,irr-C3-14a) + 1 x (irr-C2-5,irr-C3-14a) + 1 x (irr-C2-10,irr-C3-21)
