irr-D12-1	1 x (irr-C2-1,irr-B9-1)
irr-D12-24	1 x (irr-C2-5,irr-B9-1) + 1 x (irr-C2-1,irr-B9-19)
irr-D12-276	1 x (irr-C2-10,irr-B9-1) + 1 x (irr-C2-5,irr-B9-19) + 1 x (irr-C2-1,irr-B9-171)
irr-D12-299	1 x (irr-C2-1,irr-B9-1) + 1 x (irr-C2-14,irr-B9-1) + 1 x (irr-C2-5,irr-B9-19) + 1 x (irr-C2-1,irr-B9-189)
