irr-D12-1	1 x (irr-A1-1,irr-A1-1,irr-D10-1)
irr-D12-24	1 x (irr-A1-2-q,irr-A1-2-q,irr-D10-1) + 1 x (irr-A1-1,irr-A1-1,irr-D10-20)
irr-D12-276	1 x (irr-A1-3,irr-A1-1,irr-D10-1) + 1 x (irr-A1-1,irr-A1-3,irr-D10-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-D10-20) + 1 x (irr-A1-1,irr-A1-1,irr-D10-190)
irr-D12-299	1 x (irr-A1-1,irr-A1-1,irr-D10-1) + 1 x (irr-A1-3,irr-A1-3,irr-D10-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-D10-20) + 1 x (irr-A1-1,irr-A1-1,irr-D10-209)
