irr-D12-1	1 x (irr-A3-1,irr-D9-1)
irr-D12-24	1 x (irr-A3-6,irr-D9-1) + 1 x (irr-A3-1,irr-D9-18)
irr-D12-276	1 x (irr-A3-6,irr-D9-18) + 1 x (irr-A3-15,irr-D9-1) + 1 x (irr-A3-1,irr-D9-153)
irr-D12-299	1 x (irr-A3-1,irr-D9-1) + 1 x (irr-A3-6,irr-D9-18) + 1 x (irr-A3-20b,irr-D9-1) + 1 x (irr-A3-1,irr-D9-170)
