irr-D12-1	1 x (irr-D6-1,irr-D6-1)
irr-D12-24	1 x (irr-D6-12,irr-D6-1) + 1 x (irr-D6-1,irr-D6-12)
irr-D12-276	1 x (irr-D6-12,irr-D6-12) + 1 x (irr-D6-66,irr-D6-1) + 1 x (irr-D6-1,irr-D6-66)
irr-D12-299	1 x (irr-D6-1,irr-D6-1) + 1 x (irr-D6-12,irr-D6-12) + 1 x (irr-D6-77,irr-D6-1) + 1 x (irr-D6-1,irr-D6-77)
