irr-D12-1	1 x (irr-B5-1,irr-B6-1)
irr-D12-24	1 x (irr-B5-11,irr-B6-1) + 1 x (irr-B5-1,irr-B6-13)
irr-D12-276	1 x (irr-B5-11,irr-B6-13) + 1 x (irr-B5-55,irr-B6-1) + 1 x (irr-B5-1,irr-B6-78)
irr-D12-299	1 x (irr-B5-1,irr-B6-1) + 1 x (irr-B5-11,irr-B6-13) + 1 x (irr-B5-65,irr-B6-1) + 1 x (irr-B5-1,irr-B6-90)
