irr-D12-1	1 x (irr-A1-1,irr-D4-1)
irr-D12-24	1 x (irr-A1-3,irr-D4-8a)
irr-D12-276	1 x (irr-A1-3,irr-D4-1) + 1 x (irr-A1-1,irr-D4-28) + 1 x (irr-A1-5,irr-D4-28) + 1 x (irr-A1-3,irr-D4-35a)
irr-D12-299	1 x (irr-A1-5,irr-D4-1) + 1 x (irr-A1-3,irr-D4-28) + 1 x (irr-A1-1,irr-D4-35a) + 1 x (irr-A1-5,irr-D4-35a)
