irr-D12-1	1 x (irr-A11-1)
irr-D12-24	2 x (irr-A11-12)
irr-D12-276	1 x (irr-A11-1) + 2 x (irr-A11-66) + 1 x (irr-A11-143)
irr-D12-299	2 x (irr-A11-78) + 1 x (irr-A11-143)
