irr-C17-1	1 x (irr-C6-1,irr-C11-1)
irr-C17-34-q	1 x (irr-C6-12-q,irr-C11-1) + 1 x (irr-C6-1,irr-C11-22-q)
irr-C17-560	1 x (irr-C6-1,irr-C11-1) + 1 x (irr-C6-65,irr-C11-1) + 1 x (irr-C6-12-q,irr-C11-22-q) + 1 x (irr-C6-1,irr-C11-230)
irr-C17-595	1 x (irr-C6-78,irr-C11-1) + 1 x (irr-C6-12-q,irr-C11-22-q) + 1 x (irr-C6-1,irr-C11-253)
