irr-C17-1	1 x (irr-C2-1,irr-C15-1)
irr-C17-34-q	1 x (irr-C2-4-q,irr-C15-1) + 1 x (irr-C2-1,irr-C15-30-q)
irr-C17-560	1 x (irr-C2-1,irr-C15-1) + 1 x (irr-C2-5,irr-C15-1) + 1 x (irr-C2-4-q,irr-C15-30-q) + 1 x (irr-C2-1,irr-C15-434)
irr-C17-595	1 x (irr-C2-10,irr-C15-1) + 1 x (irr-C2-4-q,irr-C15-30-q) + 1 x (irr-C2-1,irr-C15-465)
