irr-C17-1	1 x (irr-A1-1,irr-C16-1)
irr-C17-34-q	1 x (irr-A1-2-q,irr-C16-1) + 1 x (irr-A1-1,irr-C16-32-q)
irr-C17-560	1 x (irr-A1-1,irr-C16-1) + 1 x (irr-A1-2-q,irr-C16-32-q) + 1 x (irr-A1-1,irr-C16-495)
irr-C17-595	1 x (irr-A1-3,irr-C16-1) + 1 x (irr-A1-2-q,irr-C16-32-q) + 1 x (irr-A1-1,irr-C16-528)
