irr-C17-1	1 x (irr-A16-1)
irr-C17-34-q	2 x (irr-A16-17)
irr-C17-560	2 x (irr-A16-136) + 1 x (irr-A16-288)
irr-C17-595	1 x (irr-A16-1) + 2 x (irr-A16-153) + 1 x (irr-A16-288)
