irr-C17-1	1 x (irr-C4-1,irr-C13-1)
irr-C17-34-q	1 x (irr-C4-8-q,irr-C13-1) + 1 x (irr-C4-1,irr-C13-26-q)
irr-C17-560	1 x (irr-C4-1,irr-C13-1) + 1 x (irr-C4-27,irr-C13-1) + 1 x (irr-C4-8-q,irr-C13-26-q) + 1 x (irr-C4-1,irr-C13-324)
irr-C17-595	1 x (irr-C4-36,irr-C13-1) + 1 x (irr-C4-8-q,irr-C13-26-q) + 1 x (irr-C4-1,irr-C13-351)
