irr-C10-1	1 x (irr-C5-1,irr-C5-1)
irr-C10-20-q	1 x (irr-C5-10-q,irr-C5-1) + 1 x (irr-C5-1,irr-C5-10-q)
irr-C10-189	1 x (irr-C5-1,irr-C5-1) + 1 x (irr-C5-44,irr-C5-1) + 1 x (irr-C5-10-q,irr-C5-10-q) + 1 x (irr-C5-1,irr-C5-44)
irr-C10-210	1 x (irr-C5-55,irr-C5-1) + 1 x (irr-C5-10-q,irr-C5-10-q) + 1 x (irr-C5-1,irr-C5-55)
