irr-C10-1	1 x (irr-A5-1)
irr-C10-20-q	1 x (irr-A5-20-q)
irr-C10-189	1 x (irr-A5-189)
irr-C10-210	1 x (irr-A5-35) + 1 x (irr-A5-175)
