irr-D11-1	1 x (irr-A3-1,irr-D8-1)
irr-D11-22	1 x (irr-A3-6,irr-D8-1) + 1 x (irr-A3-1,irr-D8-16)
irr-D11-231	1 x (irr-A3-6,irr-D8-16) + 1 x (irr-A3-15,irr-D8-1) + 1 x (irr-A3-1,irr-D8-120)
irr-D11-252	1 x (irr-A3-1,irr-D8-1) + 1 x (irr-A3-6,irr-D8-16) + 1 x (irr-A3-20b,irr-D8-1) + 1 x (irr-A3-1,irr-D8-135)
