irr-D11-1	1 x (irr-D10-1)
irr-D11-22	2 x (irr-D10-1) + 1 x (irr-D10-20)
irr-D11-231	1 x (irr-D10-1) + 2 x (irr-D10-20) + 1 x (irr-D10-190)
irr-D11-252	3 x (irr-D10-1) + 2 x (irr-D10-20) + 1 x (irr-D10-209)
