irr-D11-1	1 x (irr-A10-1)
irr-D11-22	2 x (irr-A10-11)
irr-D11-231	1 x (irr-A10-1) + 2 x (irr-A10-55) + 1 x (irr-A10-120)
irr-D11-252	2 x (irr-A10-66) + 1 x (irr-A10-120)
