irr-D11-1	1 x (irr-B10-1)
irr-D11-22	1 x (irr-B10-1) + 1 x (irr-B10-21)
irr-D11-231	1 x (irr-B10-21) + 1 x (irr-B10-210)
irr-D11-252	1 x (irr-B10-1) + 1 x (irr-B10-21) + 1 x (irr-B10-230)
