irr-D11-1	1 x (irr-B4-1,irr-B6-1)
irr-D11-22	1 x (irr-B4-9,irr-B6-1) + 1 x (irr-B4-1,irr-B6-13)
irr-D11-231	1 x (irr-B4-9,irr-B6-13) + 1 x (irr-B4-36,irr-B6-1) + 1 x (irr-B4-1,irr-B6-78)
irr-D11-252	1 x (irr-B4-1,irr-B6-1) + 1 x (irr-B4-9,irr-B6-13) + 1 x (irr-B4-44,irr-B6-1) + 1 x (irr-B4-1,irr-B6-90)
