irr-D11-1	1 x (irr-D5-1,irr-D6-1)
irr-D11-22	1 x (irr-D5-10,irr-D6-1) + 1 x (irr-D5-1,irr-D6-12)
irr-D11-231	1 x (irr-D5-10,irr-D6-12) + 1 x (irr-D5-45,irr-D6-1) + 1 x (irr-D5-1,irr-D6-66)
irr-D11-252	1 x (irr-D5-1,irr-D6-1) + 1 x (irr-D5-10,irr-D6-12) + 1 x (irr-D5-54,irr-D6-1) + 1 x (irr-D5-1,irr-D6-77)
