irr-D11-1	1 x (irr-B5-1,irr-B5-1)
irr-D11-22	1 x (irr-B5-11,irr-B5-1) + 1 x (irr-B5-1,irr-B5-11)
irr-D11-231	1 x (irr-B5-11,irr-B5-11) + 1 x (irr-B5-55,irr-B5-1) + 1 x (irr-B5-1,irr-B5-55)
irr-D11-252	1 x (irr-B5-1,irr-B5-1) + 1 x (irr-B5-11,irr-B5-11) + 1 x (irr-B5-65,irr-B5-1) + 1 x (irr-B5-1,irr-B5-65)
