irr-A21-1	1 x (irr-A1-1,irr-A10-1)
irr-A21-22	1 x (irr-A1-2-q,irr-A10-11)
irr-A21-231	1 x (irr-A1-3,irr-A10-55) + 1 x (irr-A1-1,irr-A10-66)
irr-A21-253	1 x (irr-A1-1,irr-A10-55) + 1 x (irr-A1-3,irr-A10-66)
irr-A21-483	1 x (irr-A1-3,irr-A10-1) + 1 x (irr-A1-1,irr-A10-120) + 1 x (irr-A1-3,irr-A10-120)
