irr-A21-1	1 x (irr-A20-1)
irr-A21-22	1 x (irr-A20-1) + 1 x (irr-A20-21)
irr-A21-231	1 x (irr-A20-21) + 1 x (irr-A20-210)
irr-A21-253	1 x (irr-A20-1) + 1 x (irr-A20-21) + 1 x (irr-A20-231)
irr-A21-483	1 x (irr-A20-1) + 2 x (irr-A20-21) + 1 x (irr-A20-440)
