irr-A21-1	1 x (irr-C11-1)
irr-A21-22	1 x (irr-C11-22-q)
irr-A21-231	1 x (irr-C11-1) + 1 x (irr-C11-230)
irr-A21-253	1 x (irr-C11-253)
irr-A21-483	1 x (irr-C11-230) + 1 x (irr-C11-253)
