irr-D14-1	1 x (irr-B6-1,irr-B7-1)
irr-D14-28	1 x (irr-B6-13,irr-B7-1) + 1 x (irr-B6-1,irr-B7-15)
irr-D14-378	1 x (irr-B6-13,irr-B7-15) + 1 x (irr-B6-78,irr-B7-1) + 1 x (irr-B6-1,irr-B7-105)
irr-D14-405	1 x (irr-B6-1,irr-B7-1) + 1 x (irr-B6-13,irr-B7-15) + 1 x (irr-B6-90,irr-B7-1) + 1 x (irr-B6-1,irr-B7-119)
