irr-D14-1	1 x (irr-B5-1,irr-B8-1)
irr-D14-28	1 x (irr-B5-11,irr-B8-1) + 1 x (irr-B5-1,irr-B8-17)
irr-D14-378	1 x (irr-B5-11,irr-B8-17) + 1 x (irr-B5-55,irr-B8-1) + 1 x (irr-B5-1,irr-B8-136)
irr-D14-405	1 x (irr-B5-1,irr-B8-1) + 1 x (irr-B5-11,irr-B8-17) + 1 x (irr-B5-65,irr-B8-1) + 1 x (irr-B5-1,irr-B8-152)
