irr-D14-1	1 x (irr-A3-1,irr-D11-1)
irr-D14-28	1 x (irr-A3-6,irr-D11-1) + 1 x (irr-A3-1,irr-D11-22)
irr-D14-378	1 x (irr-A3-6,irr-D11-22) + 1 x (irr-A3-15,irr-D11-1) + 1 x (irr-A3-1,irr-D11-231)
irr-D14-405	1 x (irr-A3-1,irr-D11-1) + 1 x (irr-A3-6,irr-D11-22) + 1 x (irr-A3-20b,irr-D11-1) + 1 x (irr-A3-1,irr-D11-252)
