irr-D14-1	1 x (irr-B3-1,irr-B10-1)
irr-D14-28	1 x (irr-B3-7,irr-B10-1) + 1 x (irr-B3-1,irr-B10-21)
irr-D14-378	1 x (irr-B3-7,irr-B10-21) + 1 x (irr-B3-21,irr-B10-1) + 1 x (irr-B3-1,irr-B10-210)
irr-D14-405	1 x (irr-B3-1,irr-B10-1) + 1 x (irr-B3-7,irr-B10-21) + 1 x (irr-B3-27,irr-B10-1) + 1 x (irr-B3-1,irr-B10-230)
