irr-D14-1	1 x (irr-A13-1)
irr-D14-28	2 x (irr-A13-14)
irr-D14-378	1 x (irr-A13-1) + 2 x (irr-A13-91) + 1 x (irr-A13-195)
irr-D14-405	2 x (irr-A13-105) + 1 x (irr-A13-195)
