irr-D14-1	1 x (irr-D5-1,irr-D9-1)
irr-D14-28	1 x (irr-D5-10,irr-D9-1) + 1 x (irr-D5-1,irr-D9-18)
irr-D14-378	1 x (irr-D5-10,irr-D9-18) + 1 x (irr-D5-45,irr-D9-1) + 1 x (irr-D5-1,irr-D9-153)
irr-D14-405	1 x (irr-D5-1,irr-D9-1) + 1 x (irr-D5-10,irr-D9-18) + 1 x (irr-D5-54,irr-D9-1) + 1 x (irr-D5-1,irr-D9-170)
