irr-D14-1	1 x (irr-B4-1,irr-B9-1)
irr-D14-28	1 x (irr-B4-9,irr-B9-1) + 1 x (irr-B4-1,irr-B9-19)
irr-D14-378	1 x (irr-B4-9,irr-B9-19) + 1 x (irr-B4-36,irr-B9-1) + 1 x (irr-B4-1,irr-B9-171)
irr-D14-405	1 x (irr-B4-1,irr-B9-1) + 1 x (irr-B4-9,irr-B9-19) + 1 x (irr-B4-44,irr-B9-1) + 1 x (irr-B4-1,irr-B9-189)
