irr-D14-1	1 x (irr-B13-1)
irr-D14-28	1 x (irr-B13-1) + 1 x (irr-B13-27)
irr-D14-378	1 x (irr-B13-27) + 1 x (irr-B13-351)
irr-D14-405	1 x (irr-B13-1) + 1 x (irr-B13-27) + 1 x (irr-B13-377)
