irr-D14-1	1 x (irr-C2-1,irr-B11-1)
irr-D14-28	1 x (irr-C2-5,irr-B11-1) + 1 x (irr-C2-1,irr-B11-23)
irr-D14-378	1 x (irr-C2-10,irr-B11-1) + 1 x (irr-C2-5,irr-B11-23) + 1 x (irr-C2-1,irr-B11-253)
irr-D14-405	1 x (irr-C2-1,irr-B11-1) + 1 x (irr-C2-14,irr-B11-1) + 1 x (irr-C2-5,irr-B11-23) + 1 x (irr-C2-1,irr-B11-275)
