irr-D14-1	1 x (irr-A1-1,irr-B12-1)
irr-D14-28	1 x (irr-A1-3,irr-B12-1) + 1 x (irr-A1-1,irr-B12-25)
irr-D14-378	1 x (irr-A1-3,irr-B12-1) + 1 x (irr-A1-3,irr-B12-25) + 1 x (irr-A1-1,irr-B12-300)
irr-D14-405	1 x (irr-A1-1,irr-B12-1) + 1 x (irr-A1-5,irr-B12-1) + 1 x (irr-A1-3,irr-B12-25) + 1 x (irr-A1-1,irr-B12-324)
