irr-D14-1	1 x (irr-D6-1,irr-D8-1)
irr-D14-28	1 x (irr-D6-12,irr-D8-1) + 1 x (irr-D6-1,irr-D8-16)
irr-D14-378	1 x (irr-D6-12,irr-D8-16) + 1 x (irr-D6-66,irr-D8-1) + 1 x (irr-D6-1,irr-D8-120)
irr-D14-405	1 x (irr-D6-1,irr-D8-1) + 1 x (irr-D6-12,irr-D8-16) + 1 x (irr-D6-77,irr-D8-1) + 1 x (irr-D6-1,irr-D8-135)
