irr-D14-1	1 x (irr-D4-1,irr-D10-1)
irr-D14-28	1 x (irr-D4-8a,irr-D10-1) + 1 x (irr-D4-1,irr-D10-20)
irr-D14-378	1 x (irr-D4-8a,irr-D10-20) + 1 x (irr-D4-28,irr-D10-1) + 1 x (irr-D4-1,irr-D10-190)
irr-D14-405	1 x (irr-D4-1,irr-D10-1) + 1 x (irr-D4-8a,irr-D10-20) + 1 x (irr-D4-35a,irr-D10-1) + 1 x (irr-D4-1,irr-D10-209)
