irr-D14-1	1 x (irr-A1-1,irr-A1-1,irr-D12-1)
irr-D14-28	1 x (irr-A1-2-q,irr-A1-2-q,irr-D12-1) + 1 x (irr-A1-1,irr-A1-1,irr-D12-24)
irr-D14-378	1 x (irr-A1-3,irr-A1-1,irr-D12-1) + 1 x (irr-A1-1,irr-A1-3,irr-D12-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-D12-24) + 1 x (irr-A1-1,irr-A1-1,irr-D12-276)
irr-D14-405	1 x (irr-A1-1,irr-A1-1,irr-D12-1) + 1 x (irr-A1-3,irr-A1-3,irr-D12-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-D12-24) + 1 x (irr-A1-1,irr-A1-1,irr-D12-299)
