irr-D14-1	1 x (irr-D13-1)
irr-D14-28	2 x (irr-D13-1) + 1 x (irr-D13-26)
irr-D14-378	1 x (irr-D13-1) + 2 x (irr-D13-26) + 1 x (irr-D13-325)
irr-D14-405	3 x (irr-D13-1) + 2 x (irr-D13-26) + 1 x (irr-D13-350)
