irr-D14-1	1 x (irr-D4-1)
irr-D14-28	1 x (irr-D4-28)
irr-D14-378	1 x (irr-D4-28) + 1 x (irr-D4-350)
irr-D14-405	1 x (irr-D4-35a) + 2 x (irr-D4-35b) + 1 x (irr-D4-300)
