irr-B5-1	1 x (irr-A1-1,irr-A1-1,irr-B3-1)
irr-B5-11	1 x (irr-A1-2-q,irr-A1-2-q,irr-B3-1) + 1 x (irr-A1-1,irr-A1-1,irr-B3-7)
irr-B5-32-q	1 x (irr-A1-2-q,irr-A1-1,irr-B3-8) + 1 x (irr-A1-1,irr-A1-2-q,irr-B3-8)
irr-B5-55	1 x (irr-A1-3,irr-A1-1,irr-B3-1) + 1 x (irr-A1-1,irr-A1-3,irr-B3-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-B3-7) + 1 x (irr-A1-1,irr-A1-1,irr-B3-21)
irr-B5-65	1 x (irr-A1-1,irr-A1-1,irr-B3-1) + 1 x (irr-A1-3,irr-A1-3,irr-B3-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-B3-7) + 1 x (irr-A1-1,irr-A1-1,irr-B3-27)
irr-B5-320-q	1 x (irr-A1-2-q,irr-A1-1,irr-B3-8) + 1 x (irr-A1-1,irr-A1-2-q,irr-B3-8) + 1 x (irr-A1-3,irr-A1-2-q,irr-B3-8) + 1 x (irr-A1-2-q,irr-A1-3,irr-B3-8) + 1 x (irr-A1-2-q,irr-A1-1,irr-B3-48) + 1 x (irr-A1-1,irr-A1-2-q,irr-B3-48)
