irr-B5-1	1 x (irr-B4-1)
irr-B5-11	2 x (irr-B4-1) + 1 x (irr-B4-9)
irr-B5-32-q	2 x (irr-B4-16)
irr-B5-55	1 x (irr-B4-1) + 2 x (irr-B4-9) + 1 x (irr-B4-36)
irr-B5-65	3 x (irr-B4-1) + 2 x (irr-B4-9) + 1 x (irr-B4-44)
irr-B5-320-q	4 x (irr-B4-16) + 2 x (irr-B4-128)
