irr-B5-1	1 x (irr-A1-1)
irr-B5-11	1 x (irr-A1-11)
irr-B5-32-q	1 x (irr-A1-6-q) + 1 x (irr-A1-10-q) + 1 x (irr-A1-16-q)
irr-B5-55	1 x (irr-A1-3) + 1 x (irr-A1-7) + 1 x (irr-A1-11) + 1 x (irr-A1-15) + 1 x (irr-A1-19)
irr-B5-65	1 x (irr-A1-5) + 1 x (irr-A1-9) + 1 x (irr-A1-13) + 1 x (irr-A1-17) + 1 x (irr-A1-21)
irr-B5-320-q	1 x (irr-A1-2-q) + 1 x (irr-A1-4-q) + 2 x (irr-A1-6-q) + 3 x (irr-A1-8-q) + 2 x (irr-A1-10-q) + 3 x (irr-A1-12-q) + 3 x (irr-A1-14-q) + 2 x (irr-A1-16-q) + 2 x (irr-A1-18-q) + 2 x (irr-A1-20-q) + 1 x (irr-A1-22-q) + 1 x (irr-A1-24-q) + 1 x (irr-A1-26-q)
