irr-B5-1	1 x (irr-A1-1,irr-D4-1)
irr-B5-11	1 x (irr-A1-3,irr-D4-1) + 1 x (irr-A1-1,irr-D4-8a)
irr-B5-32-q	2 x (irr-A1-2-q,irr-D4-8b)
irr-B5-55	1 x (irr-A1-3,irr-D4-1) + 1 x (irr-A1-3,irr-D4-8a) + 1 x (irr-A1-1,irr-D4-28)
irr-B5-65	1 x (irr-A1-1,irr-D4-1) + 1 x (irr-A1-5,irr-D4-1) + 1 x (irr-A1-3,irr-D4-8a) + 1 x (irr-A1-1,irr-D4-35a)
irr-B5-320-q	2 x (irr-A1-2-q,irr-D4-8b) + 2 x (irr-A1-4-q,irr-D4-8b) + 2 x (irr-A1-2-q,irr-D4-56b)
