irr-B5-1	1 x (irr-D5-1)
irr-B5-11	1 x (irr-D5-1) + 1 x (irr-D5-10)
irr-B5-32-q	2 x (irr-D5-16)
irr-B5-55	1 x (irr-D5-10) + 1 x (irr-D5-45)
irr-B5-65	1 x (irr-D5-1) + 1 x (irr-D5-10) + 1 x (irr-D5-54)
irr-B5-320-q	2 x (irr-D5-16) + 2 x (irr-D5-144)
