irr-C12-1	1 x (irr-A11-1)
irr-C12-24-q	2 x (irr-A11-12)
irr-C12-275	2 x (irr-A11-66) + 1 x (irr-A11-143)
irr-C12-300	1 x (irr-A11-1) + 2 x (irr-A11-78) + 1 x (irr-A11-143)
