irr-C12-1	1 x (irr-A1-1,irr-D6-1)
irr-C12-24-q	1 x (irr-A1-2-q,irr-D6-12)
irr-C12-275	1 x (irr-A1-3,irr-D6-66) + 1 x (irr-A1-1,irr-D6-77)
irr-C12-300	1 x (irr-A1-3,irr-D6-1) + 1 x (irr-A1-3,irr-D6-77) + 1 x (irr-A1-1,irr-D6-66)
