irr-C12-1	1 x (irr-A1-1,irr-C4-1)
irr-C12-24-q	1 x (irr-A1-3,irr-C4-8-q)
irr-C12-275	1 x (irr-A1-5,irr-C4-1) + 1 x (irr-A1-1,irr-C4-27) + 1 x (irr-A1-5,irr-C4-27) + 1 x (irr-A1-3,irr-C4-36)
irr-C12-300	1 x (irr-A1-3,irr-C4-1) + 1 x (irr-A1-3,irr-C4-27) + 1 x (irr-A1-1,irr-C4-36) + 1 x (irr-A1-5,irr-C4-36)
