irr-D15-1	1 x (irr-C2-1,irr-B12-1)
irr-D15-30	1 x (irr-C2-5,irr-B12-1) + 1 x (irr-C2-1,irr-B12-25)
irr-D15-435	1 x (irr-C2-10,irr-B12-1) + 1 x (irr-C2-5,irr-B12-25) + 1 x (irr-C2-1,irr-B12-300)
irr-D15-464	1 x (irr-C2-1,irr-B12-1) + 1 x (irr-C2-14,irr-B12-1) + 1 x (irr-C2-5,irr-B12-25) + 1 x (irr-C2-1,irr-B12-324)
