irr-D15-1	1 x (irr-A1-1,irr-A1-1,irr-D13-1)
irr-D15-30	1 x (irr-A1-2-q,irr-A1-2-q,irr-D13-1) + 1 x (irr-A1-1,irr-A1-1,irr-D13-26)
irr-D15-435	1 x (irr-A1-3,irr-A1-1,irr-D13-1) + 1 x (irr-A1-1,irr-A1-3,irr-D13-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-D13-26) + 1 x (irr-A1-1,irr-A1-1,irr-D13-325)
irr-D15-464	1 x (irr-A1-1,irr-A1-1,irr-D13-1) + 1 x (irr-A1-3,irr-A1-3,irr-D13-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-D13-26) + 1 x (irr-A1-1,irr-A1-1,irr-D13-350)
