irr-D15-1	1 x (irr-B7-1,irr-B7-1)
irr-D15-30	1 x (irr-B7-15,irr-B7-1) + 1 x (irr-B7-1,irr-B7-15)
irr-D15-435	1 x (irr-B7-15,irr-B7-15) + 1 x (irr-B7-105,irr-B7-1) + 1 x (irr-B7-1,irr-B7-105)
irr-D15-464	1 x (irr-B7-1,irr-B7-1) + 1 x (irr-B7-15,irr-B7-15) + 1 x (irr-B7-119,irr-B7-1) + 1 x (irr-B7-1,irr-B7-119)
