irr-D15-1	1 x (irr-B6-1,irr-B8-1)
irr-D15-30	1 x (irr-B6-13,irr-B8-1) + 1 x (irr-B6-1,irr-B8-17)
irr-D15-435	1 x (irr-B6-13,irr-B8-17) + 1 x (irr-B6-78,irr-B8-1) + 1 x (irr-B6-1,irr-B8-136)
irr-D15-464	1 x (irr-B6-1,irr-B8-1) + 1 x (irr-B6-13,irr-B8-17) + 1 x (irr-B6-90,irr-B8-1) + 1 x (irr-B6-1,irr-B8-152)
