irr-D15-1	1 x (irr-A1-1,irr-D5-1)
irr-D15-30	1 x (irr-A1-3,irr-D5-10)
irr-D15-435	1 x (irr-A1-3,irr-D5-1) + 1 x (irr-A1-1,irr-D5-45) + 1 x (irr-A1-5,irr-D5-45) + 1 x (irr-A1-3,irr-D5-54)
irr-D15-464	1 x (irr-A1-5,irr-D5-1) + 1 x (irr-A1-3,irr-D5-45) + 1 x (irr-A1-1,irr-D5-54) + 1 x (irr-A1-5,irr-D5-54)
