irr-C9-1	1 x (irr-A1-1,irr-C3-1)
irr-C9-18-q	1 x (irr-A1-3,irr-C3-6-q)
irr-C9-152	1 x (irr-A1-5,irr-C3-1) + 1 x (irr-A1-1,irr-C3-14a) + 1 x (irr-A1-5,irr-C3-14a) + 1 x (irr-A1-3,irr-C3-21)
irr-C9-171	1 x (irr-A1-3,irr-C3-1) + 1 x (irr-A1-3,irr-C3-14a) + 1 x (irr-A1-1,irr-C3-21) + 1 x (irr-A1-5,irr-C3-21)
