irr-C9-1	1 x (irr-A1-1,irr-C8-1)
irr-C9-18-q	1 x (irr-A1-2-q,irr-C8-1) + 1 x (irr-A1-1,irr-C8-16-q)
irr-C9-152	1 x (irr-A1-1,irr-C8-1) + 1 x (irr-A1-2-q,irr-C8-16-q) + 1 x (irr-A1-1,irr-C8-119)
irr-C9-171	1 x (irr-A1-3,irr-C8-1) + 1 x (irr-A1-2-q,irr-C8-16-q) + 1 x (irr-A1-1,irr-C8-136)
