irr-C9-1	1 x (irr-A8-1)
irr-C9-18-q	2 x (irr-A8-9)
irr-C9-152	2 x (irr-A8-36) + 1 x (irr-A8-80)
irr-C9-171	1 x (irr-A8-1) + 2 x (irr-A8-45) + 1 x (irr-A8-80)
