irr-C9-1	1 x (irr-A1-1,irr-B4-1)
irr-C9-18-q	1 x (irr-A1-2-q,irr-B4-9)
irr-C9-152	1 x (irr-A1-3,irr-B4-36) + 1 x (irr-A1-1,irr-B4-44)
irr-C9-171	1 x (irr-A1-3,irr-B4-1) + 1 x (irr-A1-3,irr-B4-44) + 1 x (irr-A1-1,irr-B4-36)
