irr-A24-1	1 x (irr-B12-1)
irr-A24-25	1 x (irr-B12-25)
irr-A24-300	1 x (irr-B12-300)
irr-A24-325	1 x (irr-B12-1) + 1 x (irr-B12-324)
irr-A24-624	1 x (irr-B12-300) + 1 x (irr-B12-324)
