irr-A18-1	1 x (irr-B9-1)
irr-A18-19	1 x (irr-B9-19)
irr-A18-171	1 x (irr-B9-171)
irr-A18-190	1 x (irr-B9-1) + 1 x (irr-B9-189)
irr-A18-360	1 x (irr-B9-171) + 1 x (irr-B9-189)
