irr-C11-1	1 x (irr-A1-1,irr-B5-1)
irr-C11-22-q	1 x (irr-A1-2-q,irr-B5-11)
irr-C11-230	1 x (irr-A1-3,irr-B5-55) + 1 x (irr-A1-1,irr-B5-65)
irr-C11-253	1 x (irr-A1-3,irr-B5-1) + 1 x (irr-A1-3,irr-B5-65) + 1 x (irr-A1-1,irr-B5-55)
