irr-C11-1	1 x (irr-A1-1,irr-C10-1)
irr-C11-22-q	1 x (irr-A1-2-q,irr-C10-1) + 1 x (irr-A1-1,irr-C10-20-q)
irr-C11-230	1 x (irr-A1-1,irr-C10-1) + 1 x (irr-A1-2-q,irr-C10-20-q) + 1 x (irr-A1-1,irr-C10-189)
irr-C11-253	1 x (irr-A1-3,irr-C10-1) + 1 x (irr-A1-2-q,irr-C10-20-q) + 1 x (irr-A1-1,irr-C10-210)
